drug,rank,adr,risk_score
repaglinide,9,Blood glucose decreased,0.8581051826477051
repaglinide,10,Systolic hypertension,0.8397136926651001
rosiglitazone,1,Dizziness,0.9340679049491882
rosiglitazone,2,Crying,0.9269236326217651
rosiglitazone,3,Moaning,0.9216822385787964
rosiglitazone,4,Hypertension,0.9080531001091003
rosiglitazone,5,Fall,0.9066746234893799
rosiglitazone,6,Hypoglycaemia,0.9039041996002197
rosiglitazone,7,Hypotension,0.9021852612495422
rosiglitazone,8,Nausea,0.8974422216415405
rosiglitazone,9,Systolic hypertension,0.8964201211929321
rosiglitazone,10,Blood glucose decreased,0.8932667970657349
saxagliptin,1,Dizziness,0.8910038471221924
saxagliptin,2,Crying,0.8741558194160461
saxagliptin,3,Moaning,0.8660473227500916
saxagliptin,4,Nausea,0.8430307507514954
saxagliptin,5,Fall,0.8387860059738159
saxagliptin,6,Hypoglycaemia,0.8364864587783813
saxagliptin,7,Hypertension,0.8251081705093384
saxagliptin,8,Hypotension,0.8241075277328491
saxagliptin,9,Blood glucose decreased,0.809978187084198
saxagliptin,10,General physical health deterioration,0.7888504266738892
sitagliptin,1,Dizziness,0.9236857295036316
sitagliptin,2,Crying,0.9188662171363831
sitagliptin,3,Moaning,0.9158390164375305
sitagliptin,4,Fall,0.9058096408843994
sitagliptin,5,Nausea,0.89825838804245
sitagliptin,6,Hypertension,0.8970744013786316
sitagliptin,7,Hypoglycaemia,0.8915596604347229
sitagliptin,8,Hypotension,0.8872275948524475
sitagliptin,9,Blood glucose decreased,0.8794493079185486
sitagliptin,10,Systolic hypertension,0.8793073296546936
